task,mode,script,status,return_code,duration_seconds,report_path,description,key_metrics,error
operations_report,core,scripts/generate_report.py,success,0,0.43,C:\Users\zi-we\OneDrive\aia-rag\reports\operations_report.csv,Generate operations report from structured JSONL logs.,total_requests=50; p50_latency_ms=751; p95_latency_ms=7908; avg_latency_ms=2373.78; avg_total_tokens=1005.47; reference_cost_per_1000_calls=0.39188; estimated_billable_cost_per_1000_calls=0.0; answer_compliance_rate=1.0,
answer_compliance,core,scripts/evaluate_answers.py,success,0,152.59,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_answer_compliance_eval.csv,Evaluate rule-based answer compliance.,total_questions=30; answer_compliance_rate=1.0; rule_based_pass_rate=1.0; answer_not_empty_rate=1.0; expected_refusal_match_rate=1.0; refusal_reason_match_rate=1.0; source_hit_rate=1.0; forbidden_keywords_clean_rate=1.0; avg_expected_keywords_hit_rate=0.9417,
refusal_appropriateness,core,scripts/evaluate_refusals.py,success,0,107.84,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-09_refusal_appropriateness.csv,Evaluate refusal decision and refusal reason correctness.,total_questions=14; pass_rate=1.0; refusal_decision_match_rate=1.0; refusal_reason_match_rate=1.0; false_positive_rate=0.0; false_negative_rate=0.0,
context_precision,core,scripts/evaluate_context_precision.py,failed,1,60.53,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-12_context_precision_eval.csv,Evaluate context precision against expected sources and keywords.,avg_context_precision=0.9807; avg_source_accuracy=1.0; avg_keyword_coverage=0.9613; passing_count=28; passing_rate=1.0; prd_target=0.7; prd_pass=True,Process exited with code 1
faithfulness_llm_judge,core,scripts/evaluate_faithfulness_llm_judge.py,failed,1,82.88,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_faithfulness_eval.csv,Evaluate answer faithfulness using LLM-as-Judge.,avg_faithfulness=1.0; overall_statements=76; passing_count=28; prd_target=0.85; prd_pass=True,Process exited with code 1
style_consistency,core,scripts/evaluate_style_consistency.py,failed,1,91.31,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_style_consistency_eval.csv,Evaluate answer style consistency using LLM-as-Judge.,total_answerable=28; total_evaluated=28; avg_style_consistency=0.994; avg_language_consistency=1.0; avg_format_consistency=0.9821; avg_tone_professionalism=1.0; passing_count=27; passing_rate=0.9643; prd_target=0.85; prd_pass=True,Process exited with code 1
pii_redaction,core,scripts/evaluate_pii_redaction.py,failed,1,0.96,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-12_pii_redaction_eval.csv,Evaluate basic PII redaction for logs and outputs.,total_cases=13; passing_count=13; pass_rate=1.0; forbidden_clean_rate=1.0; placeholder_present_rate=1.0; prd_pass=True,Process exited with code 1
multiturn_qa,core,scripts/evaluate_multiturn.py,failed,1,102.44,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-12_multiturn_eval.csv,Evaluate session-based multi-turn QA behavior.,total_cases=6; passing_count=6; pass_rate=1.0; history_used_rate=1.0; source_hit_rate=1.0; avg_keyword_hit_rate=1.0; prd_pass=True,Process exited with code 1
cache,core,scripts/evaluate_cache.py,failed,1,79.7,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_cache_eval.csv,Evaluate cache miss/hit behavior using repeated requests.,total_cases=2; passing_count=2; pass_rate=1.0; first_cache_miss_rate=1.0; second_cache_hit_rate=1.0; latency_improved_rate=1.0; avg_keyword_hit_rate=1.0; prd_pass=True,Process exited with code 1
pdf_ingestion,core,scripts/evaluate_ingestion_pdf_handling.py,failed,1,52.19,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-12_pdf_ingestion_eval.csv,"Evaluate text-based PDF loading, OCR extraction, and scanned PDF retrieval.",total_cases=4; passing_count=4; pass_rate=1.0; pdf_files_checked=2; scanned_pdf_candidates=1; pdfs_with_ocr_performed=1; pdfs_with_ocr_succeeded=1; retrieval_hit_rate=1.0; loaded_documents=10; skipped_empty_documents=0; prd_pass=True,Process exited with code 1
advanced_memory,core,scripts/evaluate_advanced_memory.py,failed,1,76.82,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-12_advanced_memory_eval.csv,Evaluate persistent memory and history-aware retrieval query rewriting.,total_cases=2; passing_count=2; pass_rate=1.0; persistent_memory_pass_rate=1.0; query_rewrite_applied_rate=1.0; retrieval_query_resolution_rate=1.0; source_hit_rate=1.0; avg_keyword_hit_rate=0.8334; prd_pass=True,Process exited with code 1
latency,performance,scripts/evaluate_latency.py,success,0,160.52,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_latency_eval.csv,Evaluate sequential end-to-end latency.,total_requests=30; successful_requests=30; failed_requests=0; success_rate=1.0; within_10s_rate=1.0; avg_latency_ms=3038.27; p50_latency_ms=2507.5; p90_latency_ms=5726.0; p95_latency_ms=7273.85; max_latency_ms=9817; prd_pass=True,
concurrency,performance,scripts/evaluate_concurrency.py,failed,3221225477,114.32,C:\Users\zi-we\OneDrive\aia-rag\reports\evaluations\2026-05-11_concurrency_eval.csv,Evaluate 5 concurrent requests on a single instance.,total_requests=5; concurrency_level=5; successful_requests=5; failed_requests=0; success_rate=1.0; within_10s_rate=1.0; avg_latency_ms=3157.6; p95_latency_ms=5915.6; max_latency_ms=6373; wall_clock_latency_ms=6377; prd_pass=True,Process exited with code 3221225477
